,eliminado,mae,model,paredao,pred,pred_pct,rejeicao,repeticao,mean_absolute_error,correct
1080,felipe_prior,0.1777512046028172,sgd,10.0,felipe_prior,0.778307594135464,0.5672999999999999,5.0,0.2110075941354641,True
1081,gabi,0.21407752331158494,sgd,11.0,gabi,0.33167762551138,0.5961,5.0,0.26442237448861994,True
1082,marcela,0.14691750666166994,sgd,12.0,flayslene,0.49410959410910116,0.4976,5.0,0.003490405890898829,False
1083,flayslene,0.2094654388196077,sgd,13.0,flayslene,0.4902599730631292,0.63,5.0,0.13974002693687082,True
1084,gizelly_bicalho,0.22818482172195131,sgd,14.0,babu,0.6508348560247805,0.5478999999999999,5.0,0.10293485602478059,False
1085,ivy,0.3200404790710256,sgd,15.0,rafa,0.41602054072194045,0.7417,5.0,0.3256794592780596,False
1086,mari,0.28211331224909464,sgd,16.0,babu,0.3038810194173049,0.5416,5.0,0.23771898058269508,False
1087,babu,0.18940535238672904,sgd,17.0,babu,0.4148590839056722,0.5715,5.0,0.1566409160943278,True
1088,lucas_chumbo,0.10983416834898227,ensamble3,1.0,lucas_chumbo,0.5943581198349825,0.7594,5.0,0.16504188016501742,True
1089,petrix,0.195583216785356,ensamble3,2.0,petrix,0.470704588870225,0.8027,5.0,0.331995411129775,True
1090,hadson,0.2849251265935492,ensamble3,3.0,hadson,0.49358229419450045,0.7970999999999999,5.0,0.30351770580549947,True
1091,lucas,0.27502545269821993,ensamble3,4.0,lucas,0.48842065607610846,0.6262,5.0,0.13777934392389152,True
1092,bianca_andrade,0.1653398287792127,ensamble3,5.0,felipe_prior,0.3635375451045816,0.5309,5.0,0.16736245489541846,False
1093,guilherme,0.08743176355398082,ensamble3,6.0,guilherme,0.6436327871742117,0.5607,5.0,0.08293278717421171,True
1094,victor_hugo,0.2640796794771642,ensamble3,7.0,victor_hugo,0.33764946620840824,0.8522,5.0,0.5145505337915917,True
1095,pyong,0.07727545920840541,ensamble3,8.0,pyong,0.5852777631192911,0.517,5.0,0.06827776311929112,True
1096,daniel,0.2273453234642253,ensamble3,9.0,daniel,0.5646057876461005,0.8081999999999999,5.0,0.24359421235389944,True
1097,felipe_prior,0.0978669568212967,ensamble3,10.0,felipe_prior,0.6067254537826265,0.5672999999999999,5.0,0.03942545378262663,True
1098,gabi,0.14199122052872065,ensamble3,11.0,gabi,0.4303152817461667,0.5961,5.0,0.16578471825383329,True
1099,marcela,0.12239333459790076,ensamble3,12.0,flayslene,0.4741750065304192,0.4976,5.0,0.023424993469580768,False
1100,flayslene,0.13639614913966955,ensamble3,13.0,flayslene,0.4416274459239222,0.63,5.0,0.18837255407607778,True
1101,gizelly_bicalho,0.16695019235584926,ensamble3,14.0,babu,0.5442207270666445,0.5478999999999999,5.0,0.0036792729333554597,False
1102,ivy,0.22802808282036222,ensamble3,15.0,ivy,0.46732653599927215,0.7417,5.0,0.2743734640007279,True
1103,mari,0.1822279079605884,ensamble3,16.0,manu_gavassi,0.3127825029113826,0.5416,5.0,0.22881749708861737,False
1104,babu,0.183849777352036,ensamble3,17.0,babu,0.45458253398088183,0.5715,5.0,0.11691746601911818,True
1105,lucas_chumbo,0.174782937262195,ensamble2,1.0,lucas_chumbo,0.5178761879786984,0.7594,5.0,0.24152381202130158,True
1106,petrix,0.20898877110257522,ensamble2,2.0,petrix,0.4917187990110488,0.8027,5.0,0.31098120098895116,True
1107,hadson,0.27746182460872815,ensamble2,3.0,hadson,0.5187636385151821,0.7970999999999999,5.0,0.2783363614848178,True
1108,lucas,0.260527708410629,ensamble2,4.0,lucas,0.4487537414215413,0.6262,5.0,0.1774462585784587,True
1109,bianca_andrade,0.19587412974552013,ensamble2,5.0,felipe_prior,0.37038463611076367,0.5309,5.0,0.16051536388923637,False
